Neighborhood,Date,Connections
Parks,07/25/2014 12:00:00 AM,136
Parks,07/26/2014 12:00:00 AM,119
Parks,07/27/2014 12:00:00 AM,98
Parks,07/28/2014 12:00:00 AM,134
Parks,07/29/2014 12:00:00 AM,108
Parks,07/30/2014 12:00:00 AM,124
Parks,07/31/2014 12:00:00 AM,135
Parks,08/01/2014 12:00:00 AM,143
Parks,08/02/2014 12:00:00 AM,115
Parks,08/03/2014 12:00:00 AM,106
Parks,08/04/2014 12:00:00 AM,138
Parks,08/05/2014 12:00:00 AM,144
Parks,08/06/2014 12:00:00 AM,157
Parks,08/07/2014 12:00:00 AM,158
Parks,08/08/2014 12:00:00 AM,154
Parks,08/09/2014 12:00:00 AM,122
Parks,08/10/2014 12:00:00 AM,127
Parks,08/11/2014 12:00:00 AM,140
Parks,08/12/2014 12:00:00 AM,132
Parks,08/13/2014 12:00:00 AM,93
Parks,08/14/2014 12:00:00 AM,128
Parks,08/15/2014 12:00:00 AM,118
Parks,08/16/2014 12:00:00 AM,110
Parks,08/17/2014 12:00:00 AM,118
Parks,08/18/2014 12:00:00 AM,135
Parks,08/19/2014 12:00:00 AM,125
Parks,08/20/2014 12:00:00 AM,144
Parks,08/21/2014 12:00:00 AM,149
Parks,08/22/2014 12:00:00 AM,133
Parks,08/23/2014 12:00:00 AM,109
Parks,08/24/2014 12:00:00 AM,118
Parks,08/25/2014 12:00:00 AM,98
Parks,08/26/2014 12:00:00 AM,43
Parks,08/27/2014 12:00:00 AM,111
Parks,08/28/2014 12:00:00 AM,770
Parks,08/29/2014 12:00:00 AM,956
Parks,08/30/2014 12:00:00 AM,1031
Parks,08/31/2014 12:00:00 AM,837
Parks,09/01/2014 12:00:00 AM,762
Parks,09/02/2014 12:00:00 AM,702
Parks,09/03/2014 12:00:00 AM,920
Parks,09/04/2014 12:00:00 AM,947
Parks,09/05/2014 12:00:00 AM,928
Parks,09/06/2014 12:00:00 AM,816
Parks,09/07/2014 12:00:00 AM,910
Parks,09/08/2014 12:00:00 AM,886
Parks,09/09/2014 12:00:00 AM,820
Parks,09/10/2014 12:00:00 AM,900
Parks,09/11/2014 12:00:00 AM,846
Parks,09/12/2014 12:00:00 AM,1003
Parks,09/13/2014 12:00:00 AM,1218
Parks,09/14/2014 12:00:00 AM,1136
Parks,09/15/2014 12:00:00 AM,855
Parks,09/16/2014 12:00:00 AM,766
Parks,09/17/2014 12:00:00 AM,883
Parks,09/18/2014 12:00:00 AM,854
Parks,09/19/2014 12:00:00 AM,872
Parks,09/20/2014 12:00:00 AM,870
Parks,09/21/2014 12:00:00 AM,706
Parks,09/22/2014 12:00:00 AM,724
Parks,09/23/2014 12:00:00 AM,813
Parks,09/24/2014 12:00:00 AM,770
Parks,09/25/2014 12:00:00 AM,741
Parks,09/26/2014 12:00:00 AM,948
Parks,09/27/2014 12:00:00 AM,1021
Parks,09/28/2014 12:00:00 AM,861
